编号,头像,生命成长,无用,名字,外号,性别,等级,经验,生命,生命最大值,内伤,中毒,体力,物品修炼点数,武器,防具,动作帧数1,动作帧数2,动作帧数3,动作帧数4,动作帧数5,动作帧数6,动作帧数7,动作帧数8,动作帧数9,动作帧数10,动作帧数11,动作帧数12,动作帧数13,动作帧数14,动作帧数15,内力性质,内力,内力最大值,攻击力,轻功,防御力,医疗,用毒,解毒,抗毒,拳掌,御剑,耍刀,特殊,暗器,武学常识,品德,攻击带毒,左右互搏,声望,资质,修炼物品,修炼点数,所会武功1,所会武功2,所会武功3,所会武功4,所会武功5,所会武功6,所会武功7,所会武功8,所会武功9,所会武功10,武功等级1,武功等级2,武功等级3,武功等级4,武功等级5,武功等级6,武功等级7,武功等级8,武功等级9,武功等级10,携带物品1,携带物品2,携带物品3,携带物品4,携带物品数量1,携带物品数量2,携带物品数量3,携带物品数量4
73,73,0,2,任盈盈,智者,1,15,0,500,500,0,0,92,0,-1,-1,0,13,0,0,13,0,10,0,0,10,0,3,0,0,3,0,1500,1500,60,90,70,0,0,0,30,0,0,0,60,50,10,50,0,0,0,78,-1,0,73,88,0,0,0,0,0,0,0,0,999,500,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
74,74,0,1,霍青桐,戲子,1,8,0,370,370,0,0,91,0,-1,-1,0,14,14,0,0,0,10,10,0,0,0,0,0,0,0,0,500,500,50,60,50,0,0,0,0,0,40,0,0,0,10,50,0,0,0,73,-1,0,29,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,132,-1,-1,-1,1,0,0,0
75,75,0,1,陳家洛,旺旺,0,18,0,500,500,0,0,100,0,-1,-1,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1000,1000,80,80,50,0,0,0,0,60,0,0,0,0,0,50,0,0,0,76,-1,0,10,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,103,-1,-1,-1,1,0,0,0
76,76,0,0,王語嫣,神仙姊姊,1,20,1500,100,100,0,0,92,0,-1,-1,0,10,0,0,0,0,7,0,0,0,0,5,0,0,0,0,100,100,1,40,1,0,0,0,0,20,21,22,23,0,100,60,0,0,0,90,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
77,77,0,1,蕭中慧,巨蟒,1,10,0,400,400,0,0,92,0,-1,-1,0,9,0,9,0,0,9,0,9,0,0,4,0,4,0,0,600,600,40,50,60,0,0,0,0,0,0,40,0,0,10,50,0,0,0,67,-1,0,54,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,208,-1,-1,-1,1,0,0,0
78,78,0,1,梅超風,蟒牯朱蛤,1,12,400,550,550,0,0,90,0,-1,-1,0,8,0,0,0,0,5,0,0,0,0,5,0,0,0,0,1500,1500,90,40,40,0,0,0,50,70,0,0,0,0,0,50,40,0,0,70,-1,0,11,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,102,-1,-1,-1,1,0,0,0
79,79,0,1,岳靈珊,天下奇男子,1,9,100,470,470,0,0,93,0,-1,-1,0,8,8,0,0,0,4,4,0,0,0,1,1,0,0,0,200,200,20,80,60,0,0,0,0,0,70,0,0,0,10,50,0,0,0,90,-1,0,34,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
80,80,0,1,張召重,天下奇男子,0,16,300,700,700,0,0,90,0,-1,-1,0,9,9,0,0,0,9,9,0,0,0,0,0,0,0,1,1500,1500,130,105,100,0,0,0,0,0,60,0,10,10,10,50,0,0,0,75,-1,0,36,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,41,125,-1,-1,1,1,0,0
81,81,0,1,朱九真,少林弟子,1,5,0,364,364,0,0,92,0,-1,-1,0,10,0,0,0,0,9,0,0,0,0,3,0,0,0,2,400,400,45,60,45,0,0,0,0,33,10,10,10,10,10,50,0,0,0,77,-1,0,17,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
82,82,0,1,宋青書,少林弟子,0,10,0,464,464,0,0,92,0,-1,-1,0,9,9,0,0,0,9,9,0,0,0,3,3,0,0,2,1000,1000,55,65,75,0,0,0,0,40,30,10,10,10,10,50,0,0,0,79,-1,0,7,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,106,-1,-1,-1,1,0,0,0
83,83,0,1,何鐵手,少林弟子,1,9,800,350,350,0,0,91,0,-1,-1,0,12,0,0,0,0,9,0,0,0,0,3,0,0,0,0,500,500,60,80,65,0,60,50,50,50,0,10,10,10,10,50,90,0,0,70,-1,0,3,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
84,84,0,1,霍都,少林弟子,0,15,0,700,700,0,0,90,0,-1,-1,0,20,0,0,0,0,9,0,0,0,0,3,0,0,0,1,1500,1500,90,80,100,0,0,0,30,60,10,10,10,10,10,50,0,0,0,81,-1,0,103,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,81,1,-1,-1,1,3,0,0
85,85,0,1,貝海石,少林弟子,0,20,0,640,640,0,0,90,0,-1,-1,0,32,0,0,0,0,20,0,0,0,0,6,0,0,0,0,1500,1500,100,80,90,77,70,60,70,70,10,10,10,10,10,50,0,0,0,60,-1,0,3,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,191,-1,-1,-1,1,0,0,0
86,86,0,1,阿珂,少林弟子,1,6,0,428,428,0,0,91,0,-1,-1,0,13,13,0,0,0,9,9,0,0,0,3,3,0,0,0,800,800,42,65,30,0,0,0,0,10,30,10,10,10,10,50,0,0,0,66,-1,0,30,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
87,87,0,1,蘇荃,少林弟子,1,14,0,500,500,0,0,90,0,-1,-1,0,16,0,0,16,0,9,0,0,9,0,3,0,0,3,0,1500,1500,70,90,60,0,0,0,0,10,10,10,70,10,10,50,0,0,0,75,-1,0,78,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
88,88,0,1,祖千秋,少林弟子,0,8,100,464,464,0,0,91,0,-1,-1,0,19,0,0,0,0,15,0,0,0,0,3,0,0,0,2,1000,1000,40,65,45,0,0,0,0,32,10,10,10,10,10,50,0,0,0,70,-1,0,3,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,221,22,23,-1,1,1,1,0
89,89,0,1,人廚子,少林弟子,0,8,100,723,723,0,0,91,0,-1,-1,0,20,0,20,0,0,9,0,9,0,0,3,0,3,0,2,350,350,55,65,55,0,0,0,0,10,10,50,10,10,10,50,0,0,0,70,-1,0,56,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
90,90,0,1,鐘靈,少林弟子,1,5,200,400,400,0,0,90,0,-1,-1,0,15,0,0,0,0,9,0,0,0,0,3,0,0,0,0,600,600,30,80,40,0,0,0,60,30,10,10,10,10,10,50,50,0,0,74,-1,0,3,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,165,-1,-1,-1,1,0,0,0
91,91,0,1,溫青青,崑侖弟子,0,1,50,475,475,0,0,90,0,-1,-1,0,7,7,0,0,0,7,7,0,0,0,4,4,0,0,1,350,350,38,53,35,0,0,0,0,10,35,10,10,10,10,50,0,0,0,68,-1,0,28,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,133,-1,-1,-1,1,0,0,0
92,92,0,1,李沅芷,崑侖弟子,1,2,0,420,420,0,0,90,0,-1,-1,0,0,11,0,0,0,0,7,0,0,0,0,4,0,0,1,450,450,50,65,40,0,0,0,0,10,34,10,10,10,10,50,0,0,0,71,-1,0,36,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
93,93,0,1,李沅芷,崑侖弟子,0,2,0,362,362,0,0,90,0,-1,-1,0,0,11,0,0,0,0,7,0,0,0,0,4,0,0,1,300,300,25,50,25,0,0,0,0,10,10,10,10,10,10,50,0,0,0,10,-1,0,39,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
94,94,0,1,陸天樞,崑侖弟子,0,9,0,440,440,0,0,90,0,-1,-1,0,0,0,11,0,0,0,0,7,0,0,0,0,4,0,1,900,900,75,75,75,0,0,0,0,10,10,60,10,10,10,50,0,0,0,10,-1,0,52,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,3,0,0,0
95,95,0,1,劉乘風,崑侖弟子,0,9,0,440,440,0,0,90,0,-1,-1,0,0,11,0,0,0,0,7,0,0,0,0,4,0,0,1,900,900,75,75,75,0,0,0,0,10,60,10,10,10,10,50,0,0,0,10,-1,0,38,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,2,0,0,0
96,96,0,1,水岱,崑侖弟子,0,9,0,440,440,0,0,90,0,-1,-1,0,0,11,0,0,0,0,7,0,0,0,0,4,0,0,1,900,900,75,75,75,0,0,0,0,10,60,10,10,10,10,50,0,0,0,10,-1,0,37,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,2,0,0,0
97,97,0,1,血刀老祖,崑侖弟子,0,18,0,660,660,0,0,90,0,-1,-1,0,0,0,11,0,0,0,0,7,0,0,0,0,4,0,1,1800,1800,140,115,120,0,0,0,60,10,10,100,10,10,10,50,70,0,0,10,-1,0,63,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,5,-1,-1,2,5,0,0
98,98,0,1,段延慶,崑侖弟子,0,24,0,600,600,0,0,90,0,-1,-1,0,11,0,0,0,0,7,0,0,0,0,4,0,0,0,1,2000,2000,120,100,100,0,0,0,0,75,10,10,10,10,10,50,0,0,0,10,-1,0,17,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,1,5,10,12,2,2,2,3
99,99,0,1,葉二娘,崑侖弟子,0,17,0,500,500,0,0,90,0,-1,-1,0,0,11,0,0,0,0,7,0,0,0,0,4,0,0,1,1500,1500,100,90,100,0,0,0,0,75,10,10,10,10,10,50,0,0,0,10,-1,0,33,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,1,6,7,-1,2,2,3,0
100,100,0,1,云中鶴,崑侖弟子,0,14,0,400,400,0,0,90,0,-1,-1,0,11,11,0,0,0,7,7,0,0,0,4,4,0,0,1,800,800,50,140,50,0,0,0,70,75,10,10,10,10,10,50,0,0,0,10,-1,0,5,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,9,0,3,-1,3,3,3,0
101,101,0,1,朱丹臣,神龍教徒,0,1,0,29,29,0,0,90,0,-1,-1,0,0,0,0,7,0,0,0,0,6,0,0,0,0,4,1,30,30,15,50,20,0,0,0,0,10,10,10,10,10,10,50,0,0,0,10,-1,0,69,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
102,102,0,1,枯榮,神龍教徒,0,1,0,32,32,0,0,90,0,-1,-1,0,0,0,0,7,0,0,0,0,6,0,0,0,0,4,1,30,30,20,50,20,0,0,0,0,10,10,10,10,10,10,50,0,0,0,10,-1,0,69,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
103,103,0,1,鳩摩智,神龍教徒,0,24,0,800,800,0,0,90,0,-1,-1,0,0,0,7,0,0,0,0,6,0,0,0,0,4,0,1,4000,4000,150,110,130,0,0,0,50,80,30,100,30,10,10,50,0,0,0,10,-1,0,66,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,2,8,4,-1,2,2,3,0
104,104,0,1,阿朱,神龍教徒,0,3,0,83,83,0,0,90,0,-1,-1,0,0,0,0,7,0,0,0,0,6,0,0,0,0,4,1,35,35,25,50,30,0,0,0,0,10,10,10,10,10,10,50,0,0,0,10,-1,0,69,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
105,105,0,1,阿碧,神龍教徒,0,4,0,92,92,0,0,90,0,-1,-1,0,0,0,0,7,0,0,0,0,6,0,0,0,0,4,1,45,45,30,55,35,0,0,0,0,10,10,10,10,10,10,50,0,0,0,10,-1,0,69,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
106,106,0,1,王元霸,神龍教徒,0,10,0,550,550,0,0,90,0,-1,-1,0,0,0,9,0,0,0,0,4,0,0,0,0,3,0,1,1000,1000,60,90,80,0,0,0,0,10,10,50,10,10,10,50,0,0,0,10,-1,0,59,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
107,107,0,1,矮老者,神龍教徒,0,13,0,550,550,0,0,90,0,-1,-1,0,0,0,7,0,0,0,0,6,0,0,0,0,4,0,1,1500,1500,100,90,100,0,0,0,0,10,10,60,10,10,10,50,0,0,0,10,-1,0,60,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,3,0,8,-1,2,2,1,0
108,108,0,1,高老者,神龍教徒,0,13,0,550,550,0,0,90,0,-1,-1,0,0,0,0,7,0,0,0,0,6,0,0,0,0,4,1,1500,1500,100,90,100,0,0,0,0,10,10,60,10,10,10,50,0,0,0,10,-1,0,60,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,4,-1,-1,2,2,0,0
109,109,0,1,鮮于通,神龍教徒,0,13,0,550,550,0,0,90,0,-1,-1,0,0,7,0,0,0,0,6,0,0,0,0,4,0,0,0,1500,1500,100,90,100,0,0,0,30,10,60,10,10,10,10,50,0,0,0,10,-1,0,34,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,4,-1,-1,3,2,0,0
110,110,0,1,游驥,神龍教徒,0,13,0,550,550,0,0,90,0,-1,-1,0,0,0,0,7,0,0,0,0,6,0,0,0,0,4,1,1500,1500,100,90,100,0,0,0,0,10,10,10,60,10,10,50,0,0,0,10,-1,0,76,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
111,140,0,1,游駒,大雪怪,0,13,0,550,550,0,0,90,0,-1,-1,0,12,0,0,0,0,5,0,0,0,0,4,0,0,0,1,1500,1500,100,90,100,0,0,0,0,10,10,10,60,10,10,50,0,0,0,10,-1,0,77,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
112,112,0,1,蕭遠山,大雪怪,0,11,0,317,317,0,0,90,0,-1,-1,0,12,0,0,0,0,5,0,0,0,0,4,0,0,0,1,50,50,55,40,80,0,0,0,0,10,10,10,10,10,10,50,0,0,0,10,-1,0,79,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
113,113,0,1,慕容博,大雪怪,0,12,0,344,344,0,0,90,0,-1,-1,0,12,0,0,0,0,5,0,0,0,0,4,0,0,0,1,50,50,70,40,80,0,0,0,0,10,10,10,10,10,10,50,0,0,0,10,-1,0,79,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
114,114,0,1,掃地老僧,大雪怪,0,100,0,999,999,0,0,90,0,-1,-1,0,12,0,0,0,0,5,0,0,0,0,4,0,0,0,1,9999,9999,500,220,500,0,0,0,80,100,100,100,100,10,100,50,0,0,0,10,-1,0,108,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
115,115,0,1,蘇星河,大雪怪,0,13,0,371,371,0,0,92,0,-1,-1,0,0,7,0,0,0,0,5,0,0,0,4,0,0,0,1,50,50,75,50,80,0,0,0,0,10,10,10,10,10,10,50,0,0,0,10,-1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
116,116,0,1,無崖子,大雪怪,0,12,0,344,344,0,0,90,0,-1,-1,0,0,0,7,0,0,0,0,5,0,0,4,0,0,0,1,60,60,60,40,80,0,0,0,0,10,10,10,10,10,10,50,0,0,0,10,-1,0,62,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
117,117,0,1,天山童姥,大雪怪,0,13,0,371,371,0,0,90,0,-1,-1,0,0,9,0,0,0,0,5,0,0,0,4,0,0,0,1,70,70,70,40,80,0,0,0,0,10,10,10,10,10,10,50,0,0,0,10,-1,0,39,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
118,118,0,2,李秋水,大雪怪,0,30,0,900,900,0,0,90,0,-1,-1,0,9,0,0,0,0,5,0,0,0,0,4,0,0,0,1,4000,4000,150,110,150,0,0,0,30,10,10,10,10,10,10,50,0,0,0,10,-1,0,14,98,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
119,119,0,1,漁,大雪怪,0,10,0,398,398,0,0,92,0,-1,-1,0,10,0,0,0,0,5,0,0,0,0,4,0,0,0,1,999,999,80,80,90,0,0,0,0,60,60,60,60,10,10,50,0,0,0,10,-1,0,17,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,7,-1,-1,-1,5,0,0,0
120,120,0,1,樵,大雪怪,0,10,0,425,425,0,0,90,0,-1,-1,0,12,0,0,0,0,5,0,0,0,0,4,0,0,0,1,1000,1000,90,90,90,0,0,0,0,60,60,60,60,10,10,50,0,0,0,10,-1,0,17,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
121,121,0,1,耕,沙漠妖姬,0,10,0,465,465,0,0,90,0,-1,-1,0,8,0,0,0,0,6,0,0,0,0,5,0,0,0,1,999,999,90,70,100,0,0,0,0,60,60,60,60,10,10,50,0,0,0,10,-1,0,17,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,7,-1,-1,-1,3,0,0,0
122,122,0,1,讀,沙漠妖姬,0,10,0,465,465,0,0,90,0,-1,-1,0,8,0,0,0,0,6,0,0,0,0,5,0,0,0,1,999,999,80,70,100,0,0,0,0,60,60,60,60,10,10,50,0,0,0,10,-1,0,81,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,7,-1,-1,-1,3,0,0,0
123,123,0,1,馬鈺,沙漠妖姬,0,10,0,600,600,0,0,90,0,-1,-1,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0,1,1500,1500,100,90,100,0,0,0,0,10,45,10,10,10,10,50,0,0,0,10,-1,0,39,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
124,124,0,1,譚處端,沙漠妖姬,0,10,0,600,600,0,0,90,0,-1,-1,0,8,0,0,0,0,6,0,0,0,0,5,0,0,0,1,1500,1500,100,90,100,0,0,0,0,10,46,10,10,10,10,50,0,0,0,10,-1,0,39,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,1,5,-1,-1,3,3,0,0
125,125,0,1,劉處玄,沙漠妖姬,0,10,0,600,600,0,0,90,0,-1,-1,0,0,11,0,0,0,0,11,0,0,0,0,5,0,0,1,1500,1500,100,110,100,0,0,0,0,10,47,10,10,10,10,50,0,0,0,10,-1,0,39,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,1,4,-1,-1,3,3,0,0
126,126,0,1,王處一,沙漠妖姬,0,10,0,600,600,0,0,90,0,-1,-1,0,8,0,0,0,0,6,0,0,0,0,5,0,0,0,1,1500,1500,100,90,100,0,0,0,0,10,48,10,10,10,10,50,0,0,0,10,-1,0,39,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,5,-1,-1,5,3,0,0
127,127,0,1,郝大通,沙漠妖姬,0,10,0,500,500,0,0,90,0,-1,-1,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0,1,1000,1000,90,90,100,0,0,0,0,10,49,10,10,10,10,50,0,0,0,10,-1,0,39,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,3,-1,-1,5,5,0,0
128,128,0,1,孫不二,沙漠妖姬,0,10,0,500,500,0,0,90,0,-1,-1,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0,1,1000,1000,90,90,100,0,0,0,0,10,50,10,10,10,10,50,0,0,0,10,-1,0,39,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,3,-1,-1,5,5,0,0
129,129,0,1,王重陽,沙漠妖姬,0,40,0,999,999,0,0,90,0,-1,-1,0,15,0,0,0,0,10,0,0,0,0,5,0,0,0,1,5000,5000,250,120,300,0,0,0,60,100,75,30,30,10,10,50,0,0,0,10,-1,0,100,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,7,-1,-1,-1,3,0,0,0
130,130,0,1,柯鎮惡,沙漠妖姬,0,9,0,550,550,0,0,90,0,-1,-1,0,0,0,0,13,0,0,0,0,10,0,0,0,0,5,1,700,700,100,40,80,0,0,0,30,30,30,30,30,88,10,50,0,0,0,10,-1,0,77,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,35,1,4,-1,10,3,2,0
131,131,0,1,朱聰,武當弟子,0,6,0,450,450,0,0,90,0,-1,-1,0,0,11,0,0,0,0,7,0,0,0,0,3,0,0,1,800,800,70,70,70,0,0,0,0,30,30,30,30,10,10,80,0,0,0,60,-1,0,41,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,7,-1,-1,-1,3,0,0,0
132,132,0,1,韓寶駒,武當弟子,0,6,0,450,450,0,0,90,0,-1,-1,0,0,0,0,11,0,0,0,0,7,0,0,0,0,3,1,800,800,70,76,70,0,0,0,0,30,30,30,30,10,10,80,0,0,0,60,-1,0,78,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,3,0,-1,-1,1,3,0,0
133,133,0,1,南希仁,武當弟子,0,9,0,450,450,0,0,90,0,-1,-1,0,0,0,0,10,0,0,0,0,10,0,0,0,0,3,1,800,800,70,80,70,0,0,0,0,30,30,30,30,10,10,80,0,0,0,60,-1,0,72,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,6,0,-1,-1,1,3,0,0
134,134,0,1,張阿生,武當弟子,0,9,0,450,450,0,0,90,0,-1,-1,0,0,0,0,7,0,0,0,0,3,0,0,0,0,7,1,700,700,65,65,65,0,0,0,0,30,30,30,30,10,10,80,0,0,0,60,-1,0,76,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,3,0,0,0
135,135,0,1,全金發,武當弟子,0,5,0,450,450,0,0,90,0,-1,-1,0,0,10,0,0,0,0,7,0,0,0,0,3,0,0,1,700,700,70,65,70,0,0,0,0,30,30,30,30,10,10,80,0,0,0,60,-1,0,41,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,8,-1,-1,-1,1,0,0,0
136,136,0,1,韓小瑩,武當弟子,0,5,0,450,450,0,0,90,0,-1,-1,0,0,9,0,0,0,0,7,0,0,0,0,3,0,0,1,700,700,65,64,65,0,0,0,0,30,30,30,30,10,10,80,0,0,0,60,-1,0,29,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,5,0,0,0
137,137,0,1,陳達海,武當弟子,0,10,0,500,500,0,0,90,0,-1,-1,0,0,8,0,0,0,0,7,0,0,0,0,3,0,0,1,730,730,78,86,62,0,0,0,0,30,30,30,30,10,10,80,0,0,0,60,-1,0,27,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,5,0,0,0
138,138,0,1,瓦耳拉齊,武當弟子,0,7,0,400,400,0,0,90,0,-1,-1,0,0,0,0,9,0,0,0,0,7,0,0,0,0,3,1,800,800,70,86,70,0,0,0,30,30,30,30,30,70,10,80,0,0,0,60,-1,0,78,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,7,35,-1,-1,3,10,0,0
139,139,0,1,鄭克爽,武當弟子,0,8,0,488,488,0,0,90,0,-1,-1,0,0,8,0,0,0,0,7,0,0,0,0,3,0,0,1,650,650,55,55,55,0,0,0,0,10,10,10,10,10,10,80,0,0,0,60,-1,0,28,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,5,0,0,0
140,140,0,1,風清揚,武當弟子,0,9,0,209,209,0,0,90,0,-1,-1,0,0,8,0,0,0,0,7,0,0,0,0,3,0,0,1,99,99,65,78,62,0,0,0,0,10,10,10,10,10,10,80,0,0,0,60,-1,0,41,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,6,-1,-1,-1,1,0,0,0
141,141,0,1,成不憂,峨嵋弟子,0,12,0,500,500,0,0,90,0,-1,-1,0,0,8,0,0,0,0,7,0,0,0,0,4,0,0,1,1500,1500,100,90,60,0,0,0,0,10,60,10,10,10,10,80,0,0,0,60,-1,0,34,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,2,0,-1,-1,1,3,0,0
142,142,0,1,封不平,峨嵋弟子,0,11,0,500,500,0,0,90,0,-1,-1,0,0,8,0,0,0,0,7,0,0,0,0,4,0,0,1,1500,1500,100,90,100,0,0,0,0,10,70,10,10,10,10,80,0,0,0,60,-1,0,34,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,1,4,-1,-1,2,2,0,0
143,143,0,1,桃根仙,峨嵋弟子,0,8,0,450,450,0,0,90,0,-1,-1,0,0,0,0,8,0,0,0,0,8,0,0,0,0,3,1,900,900,70,70,60,0,0,0,0,10,10,10,10,50,10,80,0,0,0,60,-1,0,69,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,3,0,0,0
144,144,0,1,桃干仙,峨嵋弟子,0,8,0,450,450,0,0,90,0,-1,-1,0,0,0,0,8,0,0,0,0,7,0,0,0,0,3,1,900,900,70,90,40,0,0,0,0,10,10,10,10,51,10,80,0,0,0,60,-1,0,69,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,3,0,0,0
145,145,0,1,桃枝仙,峨嵋弟子,0,8,0,450,450,0,0,90,0,-1,-1,0,0,0,0,8,0,0,0,0,8,0,0,0,0,3,1,900,900,70,64,42,0,0,0,0,10,10,10,10,52,10,80,0,0,0,60,-1,0,69,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,3,0,0,0
146,146,0,1,桃葉仙,峨嵋弟子,0,8,0,450,450,0,0,90,0,-1,-1,0,0,0,0,8,0,0,0,0,7,0,0,0,0,7,1,900,900,70,60,42,0,0,0,0,10,10,10,10,53,10,80,0,0,0,60,-1,0,69,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,3,0,0,0
